0 121 34192 462 1398 121 32416 462 1398 ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c01.avi
1 118 33272 412 1224 118 31592 411 1224 ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c02.avi
2 147 40088 492 1414 147 38160 492 1414 ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c03.avi
3 225 54040 482 1426 225 51344 483 1426 ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c04.avi
4 277 74040 956 2894 277 70232 955 2894 ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c05.avi
5 177 53944 740 2352 177 49312 738 2352 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c01.avi
6 259 82504 935 3073 259 74824 940 3073 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c02.avi
7 211 62928 1125 3358 211 59184 1126 3358 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c03.avi
8 192 64152 1520 4524 192 60960 1520 4524 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c04.avi
9 195 61248 1082 3094 195 57208 1084 3094 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c05.avi
10 189 57464 913 2525 189 53472 912 2525 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c06.avi
11 262 73584 981 2709 262 68320 981 2709 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c07.avi
12 154 49224 767 2048 154 45720 767 2048 ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c01.avi
13 99 31328 580 1631 99 29248 578 1631 ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c02.avi
14 107 31936 444 1120 107 29136 444 1120 ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c03.avi
15 125 33952 380 924 125 31208 380 924 ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c04.avi
16 121 34792 551 1360 121 32008 551 1360 ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c05.avi
17 141 40880 800 2145 141 38992 799 2145 ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c01.avi
18 179 49776 874 2348 179 47656 872 2348 ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c02.avi
19 126 32616 374 1016 126 30712 373 1016 ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c03.avi
20 139 38000 676 1760 139 36176 677 1760 ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c04.avi
21 181 48448 858 2315 181 46416 859 2315 ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c05.avi
22 227 70264 985 3393 227 65344 987 3393 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c01.avi
23 121 33872 296 999 121 30928 295 999 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c02.avi
24 142 45392 523 1690 142 41464 522 1690 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c03.avi
25 209 61336 802 2804 209 57480 803 2804 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c04.avi
26 128 34848 296 893 128 32216 296 893 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c05.avi
27 213 59608 768 2292 213 55800 769 2292 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c06.avi
28 176 57880 1219 3513 176 53648 1220 3513 ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c01.avi
29 100 29248 603 1615 100 27592 604 1615 ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c02.avi
30 169 54696 1180 3250 169 51136 1180 3250 ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c03.avi
31 121 41824 859 2422 121 38416 862 2422 ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c04.avi
32 120 42400 1013 2955 120 39464 1010 2955 ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c05.avi
33 138 45584 760 2220 138 41568 763 2220 ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c06.avi
34 186 41552 214 647 186 39768 215 647 ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c01.avi
35 187 36408 34 104 187 35568 34 104 ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c02.avi
36 238 47160 30 86 238 45728 29 86 ApplyEyeMakeup/v_ApplyEyeMakeup_g14_c03.avi
