0 00120 404104 55927 00120 200152 55927 ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c01.avi
1 00117 407968 54003 00117 196184 54003 ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c02.avi
2 00146 516944 68160 00146 241832 68160 ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c03.avi
3 00224 632920 89863 00224 324544 89863 ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c04.avi
4 00276 814696 130167 00276 427256 130167 ApplyEyeMakeup/v_ApplyEyeMakeup_g08_c05.avi
5 00176 1112752 129787 00176 464488 129787 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c01.avi
6 00258 2037408 180099 00258 672800 180099 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c02.avi
7 00210 1127888 143062 00210 441680 143062 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c03.avi
8 00191 1138408 139952 00191 428536 139952 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c04.avi
9 00194 967744 118587 00194 420872 118587 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c05.avi
10 00188 938688 113404 00188 407000 113404 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c06.avi
11 00261 1362680 154464 00261 524480 154464 ApplyEyeMakeup/v_ApplyEyeMakeup_g09_c07.avi
12 00153 691448 64476 00153 280800 64476 ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c01.avi
13 00098 474624 48954 00098 204752 48954 ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c02.avi
14 00106 489360 41076 00106 200984 41076 ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c03.avi
15 00124 492336 42220 00124 210784 42220 ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c04.avi
16 00120 496064 47710 00120 219024 47710 ApplyEyeMakeup/v_ApplyEyeMakeup_g10_c05.avi
17 00140 637680 78438 00140 263848 78438 ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c01.avi
18 00178 818976 106020 00178 335920 106020 ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c02.avi
19 00125 557104 59764 00125 221696 59764 ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c03.avi
20 00138 560792 68725 00138 246584 68725 ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c04.avi
21 00180 740304 93707 00180 311968 93707 ApplyEyeMakeup/v_ApplyEyeMakeup_g11_c05.avi
22 00226 705184 99223 00226 350696 99223 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c01.avi
23 00120 423352 53714 00120 210312 53714 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c02.avi
24 00141 543872 62942 00141 254696 62942 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c03.avi
25 00208 659688 73510 00208 302480 73510 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c04.avi
26 00127 365648 45516 00127 185600 45516 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c05.avi
27 00212 527816 72749 00212 273600 72749 ApplyEyeMakeup/v_ApplyEyeMakeup_g12_c06.avi
28 00175 742184 85444 00175 328768 85444 ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c01.avi
29 00099 373584 44807 00099 178440 44807 ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c02.avi
30 00168 693696 81114 00168 307840 81114 ApplyEyeMakeup/v_ApplyEyeMakeup_g13_c03.avi
